,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
Zipcode,1.0,-0.1319742999814813,-0.13704566612385566,0.08277142164967302,-0.13032624628220688,-0.12853320949078878,-0.12896919835590184,-0.10279376594321497,-0.06492367780802394,-0.13650273231040777,-0.1438090043596185,-0.14683200034979046,-0.15269663679249612,-0.14206878215510807,-0.13219605543287316,-0.11758149478922623,-0.1147901044119631,-0.1343966660638255,-0.14003224480875356,-0.1197163077260718,-0.17796347694992956,-0.1277324332545193,-0.2134651238914826,-0.14929125809592517,-0.14956455914762806,-0.1442143412490819,0.0039167754768434085,0.11477704040422734,-0.11497170909619771,-0.08605759522527424,-0.10468120774170245,-0.08956080784632364,-0.20256189031703645,-0.1351069929626865,-0.19408797336418385,-0.042100783963158916,-0.05513413495737358,-0.08808799615937153,-0.12413349361019396,-0.21567607657588303,-0.13652394409687402,-0.10056425908232437,-0.09138125893530598,-0.1076091108859835,-0.07049528245076071,-0.09735894177757866,-0.09333776901564647,-0.10548338473170947,-0.1102663260265973,-0.11368809963872714,0.1325813747704966
Male,-0.1319742999814813,1.0,0.9950411413399081,-0.23025612592630665,0.9738179314085177,0.969396548129205,0.9571423447643617,0.9251778219652641,0.8163883930727687,0.9596546408888795,0.984584186158006,0.9832994282477953,0.9754100713191775,0.9733572996067835,0.9692664519601056,0.945969883593747,0.8787218109922206,0.9832570252738767,0.990106293525559,0.23258510192089846,0.267540563795721,0.260931864999783,0.35970126344484593,0.21126143571427183,0.25965411599964433,0.9925297011252567,-0.2068009413538259,-0.3332339320738404,0.333216647684946,0.34300485939835657,0.22724649611734185,0.21564438251329474,0.17528570658113726,0.9940899684594701,0.2327440305707618,-0.1131114943246955,-0.052930146958202945,0.03956219254587216,0.12331925177509903,0.1772283189722767,0.9970690652490632,0.9528424047369,0.9491644524648556,0.9440808234015272,0.9377858607162687,0.8901471910869019,0.9288905125074307,0.917316567615568,0.8798695376088351,0.9231071970395887,-0.16940772875285626
Female,-0.13704566612385566,0.9950411413399081,1.0,-0.22567261496892232,0.9752077536742699,0.9681142708205419,0.9597454625682976,0.923860273551644,0.8143504518821035,0.9577578548503591,0.9823958825032689,0.9818118774868645,0.9739146871629563,0.9749537445977277,0.9736724135764805,0.9508308534192709,0.8901403854646854,0.9872248805371072,0.9934966827859261,0.22983908374944856,0.2638499455360817,0.25991393110223177,0.36015861565880103,0.20874572183743212,0.2565142149909769,0.9926720572064837,-0.2012735542535248,-0.32996899114470185,0.3299497670611262,0.33906502750629364,0.22548461289145208,0.21261973463902342,0.17551045073232407,0.9934289392127403,0.23258314209857306,-0.1139185332441848,-0.05528445643525099,0.03746311680880281,0.12196857891683775,0.17616733130403783,0.998776686310206,0.9550087073985949,0.9462946920998921,0.9507831326773977,0.9362059610990437,0.8966878456924716,0.9301002744667348,0.9217348508511883,0.8873954915740879,0.927939667057571,-0.16679369197721972
Median age (years),0.08277142164967302,-0.23025612592630665,-0.22567261496892232,1.0,-0.25387920792605984,-0.23802533080637486,-0.23076898369572332,-0.26614000044281244,-0.2616374574605269,-0.2623986631240504,-0.2262068253813337,-0.19933932338169122,-0.18587663841803315,-0.17161877429500694,-0.15524669847964087,-0.1447500192281796,-0.13549143251392023,-0.21039148872996116,-0.21873803434896127,-0.04939599024358005,-0.004304027812593521,-0.02110474781489627,-0.10476451283709617,-0.10467257297991897,-0.07876603397169321,-0.22556559027256878,0.7386929255490693,0.21886516304341258,-0.21888147852687737,-0.14503015345080703,-0.21394998508517848,-0.24276020943086998,0.09982069436904344,-0.23032695626829905,-0.04915885532366085,-0.04929450034093407,0.022555768004413522,0.006972697041153149,0.07389608123479782,0.03213661729628298,-0.22443979233995773,-0.21253663121612143,-0.20597714666428893,-0.2157593550226671,-0.18152524458329747,-0.21705122422563164,-0.22422223880455272,-0.20239781414854474,-0.2045952875750908,-0.2069862824922905,0.36629778696000287
Under 5 years,-0.13032624628220688,0.9738179314085177,0.9752077536742699,-0.25387920792605984,1.0,0.9683663611441556,0.9536131231896995,0.8787230487139825,0.7473236952609192,0.9416757529484293,0.9709850359447566,0.9627452051150314,0.950958487721099,0.9510953713055336,0.9427355788537233,0.9162315477710669,0.8459976077396237,0.9574312775536795,0.9657506509259295,0.2042191802274501,0.2262500053110998,0.22121269837539367,0.3257525155627985,0.19635691885318193,0.23801785858511074,0.9667175053914928,-0.21126732772475126,-0.32295032332364265,0.322934140339185,0.330032554736675,0.22223371832081049,0.21939096133364985,0.16126578300073885,0.9689071449813166,0.2093795451305439,-0.11917211129680819,-0.06261687738605982,0.03731183293520994,0.10564209945137373,0.1583710505047913,0.9754406408598479,0.9405997478138403,0.9336994787366271,0.9349135126424745,0.9207226506875351,0.8864183522226661,0.9147538885321392,0.9100629534433621,0.8763963515725797,0.9147050341155045,-0.1678377644588026
5 to 9 years,-0.12853320949078878,0.969396548129205,0.9681142708205419,-0.23802533080637486,0.9683663611441556,1.0,0.9678472329735468,0.8822188004006151,0.7235922008212374,0.9135649136368905,0.9695185989895535,0.9669986383311211,0.9475207017617916,0.9487280640661787,0.9362574132705055,0.9129069278922515,0.840063738571291,0.9411875048734937,0.9511154146087039,0.2274038559898297,0.24890062197686047,0.23824390762551315,0.3376846220544009,0.20448300684364978,0.245382061749361,0.9577083734411395,-0.18961955717318932,-0.30758638318494247,0.3075711768328632,0.321878930480803,0.20545736438270848,0.20504772491819187,0.1773497301591196,0.9596456392896928,0.22457217486073852,-0.111431034899082,-0.04166562329893325,0.05047343825683601,0.12245463128841999,0.16550143300640024,0.970292507599186,0.9265624313026445,0.9238813509797081,0.9172310908734986,0.910985163931953,0.8685192087668789,0.9023713794472892,0.8943833670141514,0.8612301209218182,0.9007294979485201,-0.17008243498068643
10 to 14 years,-0.12896919835590184,0.9571423447643617,0.9597454625682976,-0.23076898369572332,0.9536131231896995,0.9678472329735468,1.0,0.8889244072605578,0.7019992417717251,0.8858444783216979,0.9615270738383138,0.9640348772882802,0.9390316887569,0.9396451466573688,0.9287633676423964,0.9054630308000974,0.8225698087547983,0.9279706162473842,0.9365793882946272,0.24773292082821557,0.2624543020475247,0.25593220970757463,0.3474347619328952,0.2103219752465018,0.25372031845649107,0.9431533617536945,-0.17359727502501607,-0.3066493170059482,0.3066313290982829,0.32029997925261877,0.20525804078588386,0.20117131360383964,0.18753689306848453,0.9444070386118261,0.23831440494082423,-0.10346039834868147,-0.03681666159613597,0.05700853260065374,0.12930363776765474,0.17738120261835635,0.9600213122378088,0.9150759651586287,0.9071978003097039,0.9105998377350075,0.8989861160396992,0.8552141304565457,0.8873411740604439,0.8857307623051323,0.8580398078416699,0.8877494360464732,-0.16993544965993426
15 to 19 years,-0.10279376594321497,0.9251778219652641,0.923860273551644,-0.26614000044281244,0.8787230487139825,0.8822188004006151,0.8889244072605578,1.0,0.8794395805649571,0.8639393276214824,0.8877991556138339,0.8944091384421443,0.8729637164305483,0.8691540487279455,0.865716506948693,0.8462608254880651,0.789167410237563,0.893248250921624,0.8975952423992897,0.22851437433736133,0.2596405500012427,0.26033497826515495,0.3470137565825051,0.18206481261808655,0.23401767432935605,0.9139205420900436,-0.2320385824177237,-0.3163359828665792,0.3163210752309633,0.3062152158612079,0.23144229249315915,0.21175592585072014,0.13030880564388453,0.9177104116378331,0.22401072475080697,-0.10602023153477584,-0.04613918632326012,0.03706804180422821,0.10285753507593447,0.17109952096017284,0.919269341219634,0.8641259162602232,0.8566435560671034,0.8599378326660554,0.8451721910868121,0.80014669534853,0.8518162722712069,0.8235580216958254,0.7946066255645516,0.8350769526533088,-0.17518843901233208
20 to 24 years,-0.06492367780802394,0.8163883930727687,0.8143504518821035,-0.2616374574605269,0.7473236952609192,0.7235922008212374,0.7019992417717251,0.8794395805649571,1.0,0.8178071646032309,0.7518788222990429,0.7450694453990708,0.7387957359313404,0.7367255304960153,0.7364577653565905,0.7230251933023697,0.7044885868851535,0.8135546317188433,0.8154069623792833,0.11335286889635467,0.1573045945065632,0.16560368525481572,0.2433082031900853,0.10764543199032496,0.1545551621606291,0.8160105464566917,-0.26406511990000336,-0.2901513044097411,0.2901357462102699,0.25495892283344124,0.2334205196526987,0.1977340355141557,0.04707897696644759,0.8269205267874421,0.12987836238718323,-0.09310761641025234,-0.07048337640452382,-0.012129402467591022,0.030099968554711677,0.07931134122950008,0.8113024382140416,0.7792645974075246,0.7721012936319146,0.7758645393768403,0.7495489855233606,0.7467583655261488,0.7878443740174531,0.7353777623108222,0.712446206063428,0.7528201082087589,-0.13627381299241037
25 to 34 years,-0.13650273231040777,0.9596546408888795,0.9577578548503591,-0.2623986631240504,0.9416757529484293,0.9135649136368905,0.8858444783216979,0.8639393276214824,0.8178071646032309,1.0,0.9435892154069812,0.9234228959652656,0.9243647172126352,0.9199495465300934,0.908357353039267,0.8788673820483492,0.8252489955148042,0.968411802581901,0.9723259065915985,0.16648034980610305,0.21554065796653665,0.21012172345285848,0.3262880677030439,0.20418143901176944,0.2385133508925379,0.9652986160784451,-0.25859227654049066,-0.3552199580106408,0.3552034092625049,0.3468681344448958,0.257323873970598,0.2385234385297727,0.14205902809373752,0.9683647273835663,0.1907601902793277,-0.11746982087414176,-0.06766704617383189,0.010893853347423724,0.08779907475595179,0.13373675664586215,0.9578596309142182,0.930368499564151,0.9203079229307333,0.9276758891767684,0.8912068548221647,0.8857338870921606,0.9154316478732747,0.8988638854900306,0.8639066595109083,0.9031531889858871,-0.160209348065072
35 to 44 years,-0.1438090043596185,0.984584186158006,0.9823958825032689,-0.2262068253813337,0.9709850359447566,0.9695185989895535,0.9615270738383138,0.8877991556138339,0.7518788222990429,0.9435892154069812,1.0,0.9784160611825319,0.9650582221807011,0.9586992886374566,0.9531128872374476,0.9238594797999887,0.8527989216168875,0.9655472013383614,0.9768363943951952,0.24855947737666956,0.2909919963432812,0.2713634963677391,0.3824161652107907,0.24041135944609618,0.28059782611996215,0.9851098512720233,-0.19766357114220331,-0.33106233926720974,0.33104431947888474,0.3473980719402923,0.22021299407614348,0.21081500361663338,0.20182097548395586,0.98310843861865,0.25472393175187363,-0.09929643899368253,-0.0334556800559237,0.06122950545490212,0.14499904336606864,0.19302584385416852,0.9847492971095788,0.927198820406272,0.9237337327367479,0.9185698422255393,0.9140316214586989,0.8654735665702247,0.9013314089864366,0.8892539697808026,0.8529635674843787,0.8913497053958351,-0.17525545446831725
45 to 54 years,-0.14683200034979046,0.9832994282477953,0.9818118774868645,-0.19933932338169122,0.9627452051150314,0.9669986383311211,0.9640348772882802,0.8944091384421443,0.7450694453990708,0.9234228959652656,0.9784160611825319,1.0,0.969892063308621,0.9683729194360714,0.963718176830559,0.9374759673647735,0.8600354920034933,0.9623023091447523,0.9719772415332163,0.2688433673833582,0.30067294124729554,0.288222321616221,0.3852513941882551,0.23071002034846683,0.2776128248538952,0.9791389341973344,-0.16299809727169168,-0.3186523573416596,0.3186336879867299,0.3390192379124498,0.20826136214507474,0.20087428096479704,0.21047360119021843,0.9771404994939651,0.26202834470355785,-0.10057280798769574,-0.037140631750008174,0.06540831112224713,0.15242936707782292,0.2063357327425441,0.9846584841062732,0.9292863179436166,0.9245900511098676,0.9217464945137644,0.918656069879547,0.8651353798702254,0.8983080323935645,0.893873558012973,0.8546185215486498,0.8994737303300059,-0.1717745179391675
55 to 59 years,-0.15269663679249612,0.9754100713191775,0.9739146871629563,-0.18587663841803315,0.950958487721099,0.9475207017617916,0.9390316887569,0.8729637164305483,0.7387957359313404,0.9243647172126352,0.9650582221807011,0.969892063308621,1.0,0.9704008330226555,0.968114827000941,0.9419405537314215,0.8700315008632292,0.9616963257249588,0.9691467969314104,0.2502746348224604,0.2771106685891338,0.27139313665550263,0.3660375072825822,0.22072989046335745,0.26922756036630635,0.9706008893109087,-0.15565782532672381,-0.31704891456174983,0.3170322799691449,0.33635981266436005,0.2081729952465971,0.19705332919885424,0.19873908904388776,0.9697810189584157,0.24429882296332317,-0.10930419324236947,-0.0420663049455198,0.04913605252096785,0.1395901015755076,0.19320587427047414,0.9768698076631446,0.929615041618096,0.9260447499162184,0.9210507265819443,0.9161286681256556,0.8593622455093135,0.8960146019139984,0.9017011915888012,0.8651115541341937,0.9064557702210261,-0.16446461786958272
60 to 64 years,-0.14206878215510807,0.9733572996067835,0.9749537445977277,-0.17161877429500694,0.9510953713055336,0.9487280640661787,0.9396451466573688,0.8691540487279455,0.7367255304960153,0.9199495465300934,0.9586992886374566,0.9683729194360714,0.9704008330226555,1.0,0.9769697268990937,0.9478385144288561,0.880359607375998,0.9668390158955169,0.9707163736248001,0.22290205346974393,0.25157909783700344,0.24701246911470306,0.3371485731993592,0.1913242262372693,0.24463403885497306,0.965446156500637,-0.15540125276928574,-0.30074824033074626,0.30072853468208577,0.3256642657856645,0.19203553563275144,0.18483290399369393,0.17215788544753904,0.965855567336246,0.21626657401080515,-0.11526841157448035,-0.06053432261800586,0.03255523223169047,0.12169757427711952,0.17120230228899552,0.9763655472836195,0.9449823731792322,0.938695998949954,0.9386842194659439,0.9293676100565039,0.8794757836057568,0.9132641377839924,0.9213249419696254,0.8821058876144604,0.9210752807896291,-0.14556346128697603
65 to 74 years,-0.13219605543287316,0.9692664519601056,0.9736724135764805,-0.15524669847964087,0.9427355788537233,0.9362574132705055,0.9287633676423964,0.865716506948693,0.7364577653565905,0.908357353039267,0.9531128872374476,0.963718176830559,0.968114827000941,0.9769697268990937,1.0,0.972437212924748,0.9096510545114699,0.9688509846933078,0.9708572964518067,0.24602628681967056,0.27533621663658364,0.2752831785191413,0.3578762330754043,0.20166203858315868,0.2576705623230539,0.9616398405614964,-0.14752828390269782,-0.3014531855424567,0.3014334011213479,0.32793887390664567,0.19141019031475448,0.18308136730453306,0.18795957835339944,0.9598651960659013,0.2340171039441717,-0.11568201273522057,-0.061455134993520746,0.03351009798035107,0.1376381396881959,0.18488934490251155,0.9736940450433413,0.9373895454616124,0.9331271940326883,0.9293536690004686,0.9352977391263364,0.8709702205848995,0.903200437355623,0.9100423148908409,0.8686833772710788,0.912457356881759,-0.14812663922550146
75 to 84 years,-0.11758149478922623,0.945969883593747,0.9508308534192709,-0.1447500192281796,0.9162315477710669,0.9129069278922515,0.9054630308000974,0.8462608254880651,0.7230251933023697,0.8788673820483492,0.9238594797999887,0.9374759673647735,0.9419405537314215,0.9478385144288561,0.972437212924748,1.0,0.9233053928338211,0.9439659511037225,0.9469777502138188,0.25176203910920963,0.2725396210753281,0.2840102503667403,0.3465833170617022,0.18705092653139968,0.2466120148366464,0.934867430039789,-0.1413364649421009,-0.2917880015000523,0.29176717582821227,0.3217523875777652,0.18192053550992113,0.17692795269164288,0.18899138284388692,0.9335410052113532,0.2369115522967558,-0.11798537486872027,-0.05644348804089265,0.027272468079211295,0.12753020629293998,0.18255547448674111,0.9498371967835538,0.9159853179061748,0.9116398906401959,0.9082964053492986,0.9277676388269249,0.8503265243242287,0.8803255541414335,0.8885433640068117,0.851499380908357,0.8942110707497163,-0.1392530202002132
85 years and over,-0.1147901044119631,0.8787218109922206,0.8901403854646854,-0.13549143251392023,0.8459976077396237,0.840063738571291,0.8225698087547983,0.789167410237563,0.7044885868851535,0.8252489955148042,0.8527989216168875,0.8600354920034933,0.8700315008632292,0.880359607375998,0.9096510545114699,0.9233053928338211,1.0,0.8898626883042244,0.8942008694658604,0.21609662567692944,0.23919266574787,0.25981618937015577,0.3217106067678429,0.15246515330834348,0.2132753693570876,0.872043548984664,-0.14315917639604442,-0.2880618050185269,0.2880474022545314,0.31075391562515425,0.1853619930467504,0.17898096176167508,0.16961390122279715,0.8686319847075323,0.21775973717253772,-0.09980181698730113,-0.06470778214029275,0.00841100784086705,0.10689066471054214,0.17224219026574364,0.8850147420360109,0.8489211145305947,0.8378010304759481,0.8482224028404515,0.8632372417226352,0.7999535638455259,0.8203356817384875,0.822908071092685,0.8070501978527778,0.8440593633886722,-0.12747973649342656
Total housing units,-0.1343966660638255,0.9832570252738767,0.9872248805371072,-0.21039148872996116,0.9574312775536795,0.9411875048734937,0.9279706162473842,0.893248250921624,0.8135546317188433,0.968411802581901,0.9655472013383614,0.9623023091447523,0.9616963257249588,0.9668390158955169,0.9688509846933078,0.9439659511037225,0.8898626883042244,1.0,0.994795197530315,0.19911345756429977,0.23566473690709028,0.24209231481164262,0.34080496782274794,0.19160135956982952,0.24293380474909754,0.9804496057177632,-0.20540193698843184,-0.33904886406933643,0.3390296510447933,0.34026413364300234,0.2383085517240133,0.21926979978256111,0.1557211141616714,0.9820713050785232,0.20583503218716884,-0.13028632493174158,-0.07882971668865825,0.012180469069395591,0.10308744506495679,0.15201721327957793,0.9869188187936742,0.9614064647404535,0.9519484548618877,0.9577738651540731,0.9346018251552259,0.9101092160556592,0.9380884534764627,0.9348874602750239,0.8993929486941457,0.9371896358119663,-0.15155984399304742
Households Total,-0.14003224480875356,0.990106293525559,0.9934966827859261,-0.21873803434896127,0.9657506509259295,0.9511154146087039,0.9365793882946272,0.8975952423992897,0.8154069623792833,0.9723259065915985,0.9768363943951952,0.9719772415332163,0.9691467969314104,0.9707163736248001,0.9708572964518067,0.9469777502138188,0.8942008694658604,0.994795197530315,1.0,0.21719839055644255,0.25844436207835636,0.25626648699470544,0.35925107869873246,0.20966974652339865,0.2576159073815883,0.9911656287714498,-0.20676888616172098,-0.34086854739346073,0.34085017350631847,0.3473043345606036,0.23535219475343847,0.21891739725796852,0.17620849422081653,0.9914831056039869,0.22877450321957285,-0.1158052818942638,-0.06020576586812922,0.028582287243285633,0.11792059009886782,0.17104572594250367,0.9937116683086686,0.9551736781479264,0.9462023588487656,0.951179169304961,0.9338956682599645,0.9025310676101453,0.9314288701705153,0.9235428074429973,0.8890484132072969,0.9290950021161819,-0.1611902880338766
Households Mean income (dollars),-0.1197163077260718,0.23258510192089846,0.22983908374944856,-0.04939599024358005,0.2042191802274501,0.2274038559898297,0.24773292082821557,0.22851437433736133,0.11335286889635467,0.16648034980610305,0.24855947737666956,0.2688433673833582,0.2502746348224604,0.22290205346974393,0.24602628681967056,0.25176203910920963,0.21609662567692944,0.19911345756429977,0.21719839055644255,1.0,0.8415059386670308,0.9483312062640745,0.8120429235303159,0.5791689522347042,0.6692549909837927,0.2501346021437094,0.05156531609754474,-0.13402074274331904,0.1340083664058715,0.23145433145956784,0.013038028849762719,0.06189961237705468,0.7666161203692975,0.23073046741034606,0.7688982564852344,0.15057348816047222,0.3528940442737445,0.45137844229186996,0.42525910394291433,0.6172201514019034,0.23304277271113416,0.10284287758773182,0.11113048961920752,0.09401810580608379,0.14208182016390425,0.05225582063683438,0.0793918649509899,0.06522527129570131,0.0559590485576387,0.07696157218962729,-0.3821942358181299
Families - Median income (dollars),-0.17796347694992956,0.267540563795721,0.2638499455360817,-0.004304027812593521,0.2262500053110998,0.24890062197686047,0.2624543020475247,0.2596405500012427,0.1573045945065632,0.21554065796653665,0.2909919963432812,0.30067294124729554,0.2771106685891338,0.25157909783700344,0.27533621663658364,0.2725396210753281,0.23919266574787,0.23566473690709028,0.25844436207835636,0.8415059386670308,1.0,0.8753386396980294,0.9252554999683363,0.5587817267787262,0.5639665018640138,0.29785310232587014,0.0390924474717819,-0.1402077497634259,0.14020461842366408,0.278843798136943,-0.0059787099826247555,0.04208340590471805,0.7754442220554052,0.27368760513268103,0.8087613557681208,0.21015531293206705,0.3943695939243939,0.39589226399773425,0.4760190844964499,0.5502949403099656,0.26766672927586355,0.11489310191923212,0.12182654967654974,0.10711897747482053,0.15948969938922536,0.0546827418193301,0.09248844537864247,0.06763683449849515,0.0554394459698077,0.08427729194994302,-0.41242716647775085
