Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US51640,ZCTA5 51640,51640,792,653,43.1,37,142,101,99,77,153,170,156,62,134,159,133,22,756,632,76285,86979,94401,93750,38162,46591,677,43.7,100,0,0,0,2.5,50000,661,55000,,37188,60461,66875,,1445,202,131,71,73,23,29,99,24,51,14
860Z200US52542,ZCTA5 52542,52542,310,219,44.2,52,41,27,37,10,87,27,58,46,41,44,17,42,258,221,86253,95625,108471,104625,25982,52527,240,49,98.8,1.3,1.3,0,21.7,53214,240,52206,73333,51083,24118,29091,56484,529,61,24,37,43,3,5,15,2,33,11.5
860Z200US52573,ZCTA5 52573,52573,31,124,28.7,26,0,0,0,32,31,0,0,55,0,0,11,0,114,63,41886,,41886,,,,56,58.2,87.5,12.5,0,12.5,7.1,,56,,,,,,,155,0,0,0,0,0,0,0,0,0,0
860Z200US52626,ZCTA5 52626,52626,536,615,50.1,14,116,124,37,17,52,163,133,114,103,166,83,29,558,485,65135,72727,79921,85833,37344,48194,443,51.3,100,0,0,0,0.9,42243,379,41581,47000,28269,48173,61250,,1151,198,56,142,40,27,52,91,35,82,17.2
860Z200US63005,ZCTA5 63005,63005,10170,9509,45.9,625,1040,1655,1926,856,1059,2316,3214,1990,1593,2240,1036,129,7322,7245,278007,229688,302220,246361,88250,135664,9810,49.4,79.4,20.6,15.1,5.5,20.6,111197,7352,117752,25294,55952,61862,116250,145279,19656,1221,637,584,359,194,333,582,111,238,6.2
860Z200US63010,ZCTA5 63010,63010,17121,17284,39.8,2025,1865,1865,2041,1560,5618,4221,3889,2802,2320,3676,1938,585,14854,13877,89035,91304,102034,104189,45288,56903,17504,41,94.1,5.9,4.1,1.8,7.3,46529,15904,48042,29815,40137,48442,60846,71475,34069,4506,2112,2394,1148,649,1672,2049,632,1458,13.2
860Z200US63011,ZCTA5 63011,63011,18004,18270,44,2493,2671,1910,2017,1634,3659,4334,4484,2327,2870,4375,2235,1265,14822,14376,147009,154618,176822,163819,48206,72151,17772,46.7,89.2,10.8,7.1,3.8,11.8,73644,13903,74664,46774,31969,54646,80153,96278,36274,3480,1564,1916,1288,617,1006,1541,559,1233,9.6
860Z200US63012,ZCTA5 63012,63012,5540,5437,37.1,795,580,643,776,835,1599,1689,1536,761,576,780,379,28,4146,3897,124233,101947,130886,113314,58958,62925,6164,40.1,98.7,1.3,1.3,0,2.6,53497,5401,53949,14444,45956,54959,76581,68092,10971,1269,603,666,452,197,442,621,236,246,11.6
860Z200US63013,ZCTA5 63013,63013,626,578,43.8,47,32,126,105,16,139,139,124,120,68,192,96,0,562,448,121207,104554,131291,99808,,72622,551,45.8,100,0,0,0,0,50818,487,51373,39732,47368,53438,,108028,1204,134,95,39,99,54,27,74,0,12,11.1
860Z200US63014,ZCTA5 63014,63014,182,222,56.1,12,21,21,4,17,13,43,62,33,12,143,23,0,243,219,69808,77708,76625,87813,38958,56541,220,54.3,100,0,0,0,0,44500,212,44500,,39375,44554,,,404,44,21,23,8,6,24,12,8,16,10.9
860Z200US63015,ZCTA5 63015,63015,918,1041,53.9,90,48,27,124,96,284,74,304,394,142,244,132,0,791,753,91068,95262,101461,95880,55425,61624,1089,53.9,100,0,0,0,2.2,35630,977,35524,39000,32169,40444,37917,,1959,161,57,104,15,49,25,129,0,62,8.2
860Z200US63016,ZCTA5 63016,63016,3298,2993,45.8,213,162,381,408,360,735,823,980,633,626,619,271,80,2985,2610,92653,99900,106434,112708,47045,52334,3255,46.1,99.7,0.3,0.2,0.1,2,48567,2941,51050,38125,48258,58438,65160,66360,6193,745,489,256,232,58,319,341,67,185,12
860Z200US63017,ZCTA5 63017,63017,20601,22473,47.6,2098,2542,2372,2474,1818,3615,5278,5167,3137,2632,6133,3853,1955,18726,17760,182585,172027,224399,185572,70295,84878,20306,46.7,79.1,20.9,12.7,8.2,19.5,83982,15550,90698,46285,33980,54852,88142,113445,41659,3653,1680,1973,1209,560,1500,1822,790,1432,8.8
860Z200US63019,ZCTA5 63019,63019,2040,2450,41.7,208,209,318,359,399,420,516,666,381,288,420,179,127,1927,1830,78226,82017,93843,99737,42272,49277,2325,42.7,98.2,1.8,1.4,0.4,1.5,41345,2208,45676,27750,44423,47381,64157,40192,4448,734,383,351,214,88,351,322,187,283,16.5
860Z200US63020,ZCTA5 63020,63020,10035,10322,44.4,999,1152,1621,984,1309,1717,2554,2343,1576,1836,2682,1110,474,8922,8163,76104,78936,86556,91619,38821,50540,9170,42.1,98.8,1.2,0.8,0.4,2.1,40103,8196,42486,29076,35918,43827,56491,62765,20089,3041,1610,1431,929,599,1195,1577,527,1147,15.1
860Z200US63021,ZCTA5 63021,63021,27713,28584,40.4,3257,3301,3660,3676,3015,6952,7537,7984,3112,4175,5940,2703,985,22982,22207,136526,134084,159589,145286,56380,74205,29212,43.7,86.1,13.9,8.3,5.5,15.2,63372,24168,66198,38529,35752,49705,78804,93644,55951,4906,2323,2583,1330,943,1810,2002,753,1842,8.8
860Z200US63023,ZCTA5 63023,63023,2896,2546,39.7,339,565,194,466,60,773,794,589,400,399,510,272,81,2108,1909,85974,80764,93664,83844,46146,50537,2187,43.1,100,0,0,0,0.5,46954,2085,47409,,45128,46870,80742,,5442,621,338,283,183,105,233,351,147,337,11.4
860Z200US63025,ZCTA5 63025,63025,9387,9096,39,1493,1505,1569,1046,511,1815,3097,2497,1395,1005,1642,613,295,6726,6522,148475,140781,165697,143666,51829,81799,8932,44.6,92.9,7.1,5.4,1.7,6.4,75352,7175,75813,33819,58026,70409,79180,100625,18207,1572,912,660,571,135,539,519,377,436,8.6
860Z200US63026,ZCTA5 63026,63026,22044,23223,41.2,2546,3045,3001,3035,2547,4648,5903,6319,2940,3383,5497,1656,747,18051,17216,118632,111623,132215,121947,49814,77375,23116,44.7,96.2,3.8,2.4,1.4,5.2,53807,19973,57900,36019,38260,50058,73384,82610,44817,5275,2464,2811,1328,585,1726,2679,800,1428,11.8
860Z200US63028,ZCTA5 63028,63028,13818,14095,39.4,1863,2261,1788,1444,1179,3353,4092,3115,1720,2405,2910,1230,553,11390,10740,92624,89651,107604,99710,39182,55810,12503,40.3,98.6,1.4,1.2,0.1,2.6,49327,11329,51462,34125,39175,53259,57703,86354,27516,4220,2361,1859,1352,934,1442,2356,636,1461,15.3
